# BetterQuesting Item Export
# Format: modid:item_name
# Use these IDs in DSL quest files

3DManeuverGear:3DManeuverGear                      # 3D Maneuver Gear
etsy:LightChestplate                               # Glowstone Chestplate
etsy:LightHelmet                                   # Glowstone Helmet
etsy:LightHoe                                      # Glowstone Hoe
etsy:LightLeggings                                 # Glowstone Leggings
etsy:LightPickaxe                                  # Glowstone Pickaxe
etsy:LightSpade                                    # Glowstone Shovel
etsy:LightSwords                                   # Glowstone Sword
etsy:ObAxe                                         # Obsidian Axe
etsy:ObHoe                                         # Obsidian Hoe
etsy:ObPickaxe                                     # Obsidian Pickaxe
etsy:ObSpade                                       # Obsidian Shovel
etsy:ObSwords                                      # Obsidian Sword
etsy:ObsidianBoots                                 # Obsidian Boots
etsy:ObsidianChestplate                            # Obsidian Chestplate
etsy:ObsidianHelmet                                # Obsidian Helmet
etsy:ObsidianLeggings                              # Obsidian Leggings
etsy:RedBoots                                      # Redstone Boots
etsy:RedChestplate                                 # Redstone Chestplate
etsy:RedHelmet                                     # Redstone Helmet
etsy:RedLeggings                                   # Redstone Leggings
etsy:RedstoneAxe                                   # Redstone Axe
etsy:RedstoneHoe                                   # Redstone Hoe
etsy:RedstonePickaxe                               # Redstone Pickaxe
etsy:RedstoneSpade                                 # Redstone Shovel
etsy:RedstoneSwords                                # Redstone Sword
etsy:ReinforcedRedstone                            # Reinforced Redstone
etsy:RuAxe                                         # Ruby Axe
etsy:RuBoots                                       # Ruby Boots
etsy:RuChestplate                                  # Ruby Chestplate
etsy:RuHelmet                                      # Ruby Helmet
etsy:RuHoe                                         # Ruby Hoe
etsy:RuLeggings                                    # Ruby Leggings
etsy:RuPickaxe                                     # Ruby Pickaxe
etsy:RuSpade                                       # Ruby Shovel
etsy:RuSwords                                      # Ruby Sword
etsy:Ruby                                          # Ruby
etsy:RubyBlock                                     # Ruby Block
etsy:RubyOre                                       # Ruby Ore
eureka:engineeringDiary                            # Engineering Diary
ewysworkshop:WorkshopTable                         # Workshop Table
ewysworkshop:WorkshopTableUpgrade                  # Blank Upgrade
extrablocksy:blocklampone                          # Lamp Block One
extrablocksy:blocklampone_lit                      # Lamp Block One Lit
extrablocksy:blocklamptwo                          # Lamp Block Two
extrablocksy:blocklamptwo_lit                      # Lamp Block Two Lit
extrablocksy:blocknoteone                          # Note Block One
extrablocksy:blocknotetwo                          # Note Block Two
extrabuttons:extrabuttonscapacitive_touch_block    # Capacitive Touch Block
extrabuttons:extrabuttonsdelay_button              # Delay Button
extrabuttons:extrabuttonsilluminated_button        # White Illuminated Toggle Button
extrabuttons:extrabuttonsilluminated_button_on     # tile.illuminatedButtonOn.white.name
extrabuttons:extrabuttonsplayer_detector_rail      # Player Detector Rail
extrabuttons:extrabuttonsplayer_powered_rail       # Player Powered Rail
extrabuttons:extrabuttonsstone_panel_button        # Stone Panel Button
extrabuttons:extrabuttonswood_panel_button         # Wood Panel Button
extracells:certustank                              # Certus Quartz Tank
extracells:craftingstorage                         # 256k Crafting Storage
extracells:ecbaseblock                             # ME Fluid Interface
extracells:fluid.item                              # null
extracells:fluidcrafter                            # ME Fluid Assembler
extracells:hardmedrive                             # Blast resistant ME Drive [WIP]
extracells:oc.upgrade                              # ME Upgrade (Tier 3)
extracells:part.base                               # ME Fluid Export Bus
extracells:pattern.crafting                        # item.extracells.pattern.crafting.name
extracells:pattern.fluid                           # ME Fluid Pattern [WIP]
extracells:storage.casing                          # Advanced Storage Housing
extracells:storage.component                       # 256k ME Storage Component
extracells:storage.fluid                           # ME 1k Fluid Storage
extracells:storage.fluid.portable                  # ME Portable Fluid Storage
extracells:storage.gas                             # ME 1k Gas Storage
extracells:storage.gas.portable                    # ME Portable Gas Storage
extracells:storage.physical                        # ME 256k Storage
extracells:storage.physical.advanced.quantum       # ME Quantum Storage
extracells:storage.physical.advanced.singularity   # ME Digital Singularity
extracells:storage.physical.void                   # ME Void Storage
extracells:terminal.fluid.wireless                 # Wireless Fluid Terminal
extracells:terminal.gas.wireless                   # Wireless Gas Terminal
extracells:terminal.universal.wireless             # Wireless Universal Terminal
extracells:vibrantchamberfluid                     # Fluid Vibration Chamber
extracells:walrus                                  # Walrus
extracoal:cactus_charcoal                          # Cactus Charcoal
extracoal:cactus_charcoal_block                    # Block of Cactus Charcoal
extracoal:cactus_coke                              # Cactus Coke
extracoal:cactus_coke_block                        # Block of Cactus Coke
extracoal:charcoal_block                           # Block of Charcoal
extracoal:coke_oven                                # Coke Oven
extracoal:coke_oven_on                             # Coke Oven
extracoal:sugar_charcoal                           # Sugar Charcoal
extracoal:sugar_charcoal_block                     # Block of Sugar Charcoal
extracoal:sugar_coke                               # Sugar Coke
extracoal:sugar_coke_block                         # Block of Sugar Coke
extrastonesmod:Andesite                            # Andesite
extrastonesmod:AndesiteBrick                       # Andesite Brick
extrastonesmod:AndesiteBrickStair                  # Andesite Brick Stair
extrastonesmod:AndesiteBrickTile                   # Andesite Brick Tile
extrastonesmod:AndesiteBrickdoubleslab             # Andesite Brick Half Slab
extrastonesmod:AndesiteBrickhalfslab               # Andesite Brick Half Slab
extrastonesmod:AndesiteSmooth                      # Andesite Smooth
extrastonesmod:AndesiteStair                       # Andesite Stair
extrastonesmod:AndesiteTile                        # Andesite
extrastonesmod:Andesitedoubleslab                  # Andesite Half Slab
extrastonesmod:Andesitehalfslab                    # Andesite Half Slab
extrastonesmod:Dacite                              # Dacite
extrastonesmod:DaciteStair                         # Dacite Stair
extrastonesmod:DaciteTile                          # Dacite
extrastonesmod:Dacitedoubleslab                    # Dacite Half Slab
extrastonesmod:Dacitehalfslab                      # Dacite Half Slab
extrastonesmod:Diorite                             # Diorite
extrastonesmod:Diorite Brick                       # Diorite Brick Tile
extrastonesmod:Diorite Brick Stair                 # Diorite Brick Stair
extrastonesmod:DioriteBrick                        # Diorite Brick
extrastonesmod:DioriteBrickdoubleslab              # Diorite Brick Half Slab
extrastonesmod:DioriteBrickhalfslab                # Diorite Brick Half Slab
extrastonesmod:DioriteSmooth                       # Diorite Smooth
extrastonesmod:DioriteStair                        # Diorite Stair
extrastonesmod:DioriteTile                         # Diorite
extrastonesmod:Dioritedoubleslab                   # Diorite Half Slab
extrastonesmod:Dioritehalfslab                     # Diorite Half Slab
extrastonesmod:Gabbro                              # Gabbro
extrastonesmod:GabbroStair                         # Gabbro Stair
extrastonesmod:GabbroTile                          # Gabbro
extrastonesmod:Gabbrodoubleslab                    # Gabbro Half Slab
extrastonesmod:Gabbrohalfslab                      # Gabbro Half Slab
extrastonesmod:Granite                             # Granite
extrastonesmod:GraniteSmooth                       # Granite Smooth
extrastonesmod:GraniteStair                        # Granite Stair
extrastonesmod:GraniteTile                         # Granite
